epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,142.183,0.97232,0.43435,0.36549,0.6778,1.3321,0.99138,0.97222,0.975,0.76014,0.99138,0.97222,0.975,0.95735,0.83483,0.14611,0.2462,0.46634,1.42813,0.0014852,0.0014852,0.0014852
28,146.924,0.96869,0.40773,0.34883,0.65259,1.30649,0.91751,0.97222,0.97096,0.68415,0.91751,0.97222,0.97096,0.90362,1.01281,0.29093,0.13355,0.59189,1.59383,0.0014654,0.0014654,0.0014654
29,151.69,0.96867,0.40186,0.31355,0.65276,1.33663,0.99122,0.97222,0.975,0.71106,0.99122,0.97222,0.975,0.9444,1.06575,0.24572,0.1489,0.50998,1.70847,0.0014456,0.0014456,0.0014456
30,156.496,0.92883,0.44753,0.31519,0.64686,1.29104,0.99587,0.97222,0.975,0.7378,0.99587,0.97222,0.975,0.92237,0.92811,0.31162,0.19822,0.44715,1.52644,0.0014258,0.0014258,0.0014258
31,161.319,0.89243,0.40368,0.33368,0.6338,1.28157,0.99635,0.97222,0.975,0.73131,0.99635,0.97222,0.98411,0.9575,0.94956,0.23811,0.16508,0.49933,1.49389,0.001406,0.001406,0.001406
32,166.159,0.87604,0.36414,0.29848,0.60547,1.25771,1,0.96301,0.975,0.70245,1,0.96301,0.98081,0.95361,0.93498,0.16676,0.12897,0.50826,1.51142,0.0013862,0.0013862,0.0013862
33,170.948,0.85248,0.34931,0.30627,0.6194,1.25961,0.99241,0.97222,0.975,0.71074,0.99241,0.97222,0.98347,0.95755,0.91776,0.16117,0.10201,0.52119,1.52899,0.0013664,0.0013664,0.0013664
34,175.763,0.86973,0.34346,0.27912,0.59293,1.25694,0.94269,0.97222,0.97252,0.70758,0.94269,0.97222,0.97252,0.95179,0.99892,0.21679,0.12793,0.46277,1.6887,0.0013466,0.0013466,0.0013466
35,180.545,0.82667,0.31726,0.27593,0.58215,1.23786,0.94578,0.96914,0.97864,0.73186,0.99447,0.97222,0.98033,0.95945,0.96995,0.19422,0.074,0.47648,1.65335,0.0013268,0.0013268,0.0013268
36,185.428,0.82602,0.32538,0.29075,0.56477,1.23564,0.99903,0.97222,0.975,0.71461,0.97288,0.9967,0.99446,0.94967,0.99282,0.24049,0.46058,0.5111,1.69735,0.001307,0.001307,0.001307
37,190.126,0.79687,0.34027,0.26949,0.54967,1.22445,1,0.94424,0.97338,0.73472,0.9911,0.97222,0.975,0.95437,0.88553,0.24065,0.05447,0.50223,1.48164,0.0012872,0.0012872,0.0012872
38,194.804,0.789,0.39886,0.25036,0.54601,1.21436,0.97202,0.96529,0.97417,0.75261,0.97202,0.96529,0.97417,0.94622,0.86786,0.18365,0.14915,0.45941,1.46491,0.0012674,0.0012674,0.0012674
39,199.516,0.79249,0.33828,0.24878,0.53594,1.21485,0.99773,0.97222,0.975,0.76079,0.99773,0.97222,0.975,0.96419,0.82744,0.13333,0.10566,0.43393,1.55272,0.0012476,0.0012476,0.0012476
40,204.241,0.84617,0.3218,0.24715,0.57229,1.2559,0.96928,0.97222,0.97333,0.73581,0.96928,0.97222,0.97333,0.93883,0.90917,0.18705,0.15072,0.49843,1.54365,0.0012278,0.0012278,0.0012278
41,208.966,0.79763,0.33643,0.23121,0.54239,1.2024,0.96925,0.94444,0.94414,0.74608,0.99776,0.97222,0.975,0.96837,0.86209,0.15477,0.05281,0.43229,1.47051,0.001208,0.001208,0.001208
42,213.684,0.76924,0.3091,0.23537,0.51714,1.19437,0.9963,0.97222,0.975,0.77042,0.9963,0.97222,0.975,0.94918,0.78895,0.18237,0.12176,0.42293,1.41507,0.0011882,0.0011882,0.0011882
43,218.418,0.75924,0.30494,0.22181,0.50024,1.17611,0.99483,0.94444,0.97417,0.74159,0.99483,0.94444,0.97417,0.93972,0.8058,0.17341,0.2608,0.46041,1.41208,0.0011684,0.0011684,0.0011684
44,223.248,0.7815,0.28976,0.24603,0.54138,1.19443,0.99809,0.97222,0.975,0.78164,0.99809,0.97222,0.975,0.96386,0.70417,0.12155,0.0606,0.38995,1.34173,0.0011486,0.0011486,0.0011486
45,228.058,0.75259,0.27805,0.23439,0.51138,1.1705,0.99215,0.94444,0.97417,0.77339,0.99215,0.94444,0.97417,0.95478,0.77794,0.16302,0.18402,0.42131,1.36404,0.0011288,0.0011288,0.0011288
